RestaurantId,Cuisine,Rating,NumberOfReviews,Neighborhood,Recommended
XKDHsS8PevoEdFLNtt05FA,Ramen,4.5,182,42-13 Broadway,1
LTfR_0NiS7OIRCfkaAJg9w,Japanese,4.5,224,638 Park Pl,1
cn3JXMq29UfRkFCUD0Bhbw,Chinese,3.5,438,106 Mosco St,1
b_3yI7FXcIle71lD9Tulww,Mexican,4.5,23,2277 1st Ave,1
NB5u0htOK_1_dTkYALpRxg,Sushi Bars,4.5,56,133-22 39th Ave,1
mZdxvKqo8-hP86lus1pVHQ,Korean,5,10,41-08 149 Place Flushing Ny,1
E_XstVPsYMbU4sNTIttarQ,Mexican,4,238,140 Montague St,1
C83_0TlJdnKSKwkaH62DKA,Food Trucks,4,3,E 71st St,1
iYFauSnqLxvr4HTY_cIElg,Asian Fusion,4,227,1158 Myrtle Ave,1
CHpmu4N_kRSd-ekynJqIIA,Delis,4,61,77 Pearl St,1
mYQMjrtHp8vsEKKNsRz1XA,Italian,4,202,423 Troutman St,1
ONExUhcaPQQeKE7PW12cfA,Mexican,4.5,20,15 W Sidney Ave,1
8SM-aKKwlK8JNaJTr60c6Q,Chinese,3,45,752 Metropolitan Ave,1
TBX6fnKz0lSdMjR598r75w,Greek,4,220,29-05 23rd Ave,1
U2aUFZARLeSMf4RQIxjuTw,Chinese,4.5,69,343 Lewis Ave,1
xymU2HPO_euz1Ss1AE9Fyw,Seafood,4.5,82,169 Thompson St,1
4xOPFgrVjxKmRPlfKH-Meg,Vietnamese,4,469,61 Belleville Ave,1
6qzNc9Z9DHYYleKqrW_K3g,Japanese,4,871,456 Hudson St,1
sBP8072dTkHDHyS8MTaZcQ,Tacos,4.5,37,79-11 Roosevelt Ave,1
7K9WGGP9SOUxdlJ4ozFy8A,Steakhouses,4.5,213,2392 21st St,1
zaYK-LuVRUoUVt6EV-xmPg,Izakaya,4,47,127 Macdougal St,1
e6W0I-1r7WhCq7PPSTsFqg,Steakhouses,4,198,181 Huguenot St,1
f7apP8A_0_KqcGQTK4V2TQ,Scandinavian,4,652,65 E 55th St,1
ZhbHXqkEYNKLAbamW5peJQ,American (New),4,416,25 Cooper Sq,1
k8GFfCXO2FIIJIo0ICYSRA,Noodles,4.5,28,106 Greenwich St,1
GyGET9rFn-0MlHY1tTOfdg,Bakeries,4.5,174,673 Bergen Ave,1
Ko95LRE9AAvb2Lk9Iwh2-Q,Tacos,4,637,141 2nd Ave,1
NL7yHrgnOVNtKNRPon5vGQ,Dim Sum,3,138,28 Pell St,1
A-ert0jDRBfku9ogyW_mEg,Chinese,4.5,162,150 E 50th St,1
EVQQ1Fs1YNlKd4HuxmzlJQ,Chinese,3,12,473 Malcolm X Blvd,1
dDXtga5Kgo5B1twdezcZJA,Chinese,4,270,108 W 14th St,1
HvgrpROomwRg-pATqaV8oQ,Japanese,3.5,409,615 9th Ave,1
wkddrs3C4l5muL1rQuJ2Mw,Pizza,3.5,10,385 8th Ave,1
wo7-TKh4B37RTBjPNtkp7w,Szechuan,3.5,29,166 15th St,1
dUxhYX4hfWa4wDfIFgii3g,Korean,4,616,3912 Union St,1
AJjQ9qMUqYj4_tWZ_m1TRw,Steakhouses,4,293,1416 River Rd,1
K1h1-dbZLgfC4vZSeJfDMw,Japanese,4,35,77 N 6th St,1
xrnk8mgoV7up6fauVmugpw,Ramen,4,491,249 9th Ave,1
Imw15ZNH2RyEz5A0hUywqg,Chicken Wings,4,54,7718 Bergenline Ave,1
uVHa8BktK6jjYTaSxra-sg,Japanese,4.5,359,300 Union Ave,1
AiiKkuu7xcrOfLE5-R5Ygg,Ramen,3.5,161,117 Washington St,1
VooUbgaG0F2FeQZfgBbjkg,Chinese,3,158,1 Elizabeth St,1
LIo7CUUgZBZw8MxDxv0icw,Chinese,3.5,293,135-38 39th Ave,1
