RestaurantId,Cuisine,Rating,NumberOfReviews,Recommended
XKDHsS8PevoEdFLNtt05FA,Ramen,4.5,182,1
LTfR_0NiS7OIRCfkaAJg9w,Japanese,4.5,224,1
cn3JXMq29UfRkFCUD0Bhbw,Chinese,3.5,438,1
b_3yI7FXcIle71lD9Tulww,Mexican,4.5,23,1
NB5u0htOK_1_dTkYALpRxg,Sushi Bars,4.5,56,1
mZdxvKqo8-hP86lus1pVHQ,Korean,5,10,1
E_XstVPsYMbU4sNTIttarQ,Mexican,4,238,1
C83_0TlJdnKSKwkaH62DKA,Food Trucks,4,3,1
iYFauSnqLxvr4HTY_cIElg,Asian Fusion,4,227,1
CHpmu4N_kRSd-ekynJqIIA,Delis,4,61,1
mYQMjrtHp8vsEKKNsRz1XA,Italian,4,202,1
ONExUhcaPQQeKE7PW12cfA,Mexican,4.5,20,1
8SM-aKKwlK8JNaJTr60c6Q,Chinese,3,45,1
TBX6fnKz0lSdMjR598r75w,Greek,4,220,1
U2aUFZARLeSMf4RQIxjuTw,Chinese,4.5,69,1
xymU2HPO_euz1Ss1AE9Fyw,Seafood,4.5,82,1
4xOPFgrVjxKmRPlfKH-Meg,Vietnamese,4,469,1
6qzNc9Z9DHYYleKqrW_K3g,Japanese,4,871,1
sBP8072dTkHDHyS8MTaZcQ,Tacos,4.5,37,1
7K9WGGP9SOUxdlJ4ozFy8A,Steakhouses,4.5,213,1
zaYK-LuVRUoUVt6EV-xmPg,Izakaya,4,47,1
e6W0I-1r7WhCq7PPSTsFqg,Steakhouses,4,198,1
f7apP8A_0_KqcGQTK4V2TQ,Scandinavian,4,652,1
ZhbHXqkEYNKLAbamW5peJQ,American (New),4,416,1
k8GFfCXO2FIIJIo0ICYSRA,Noodles,4.5,28,1
GyGET9rFn-0MlHY1tTOfdg,Bakeries,4.5,174,1
Ko95LRE9AAvb2Lk9Iwh2-Q,Tacos,4,637,1
NL7yHrgnOVNtKNRPon5vGQ,Dim Sum,3,138,1
A-ert0jDRBfku9ogyW_mEg,Chinese,4.5,162,1
EVQQ1Fs1YNlKd4HuxmzlJQ,Chinese,3,12,1
dDXtga5Kgo5B1twdezcZJA,Chinese,4,270,1
HvgrpROomwRg-pATqaV8oQ,Japanese,3.5,409,1
wkddrs3C4l5muL1rQuJ2Mw,Pizza,3.5,10,1
wo7-TKh4B37RTBjPNtkp7w,Szechuan,3.5,29,1
dUxhYX4hfWa4wDfIFgii3g,Korean,4,616,1
AJjQ9qMUqYj4_tWZ_m1TRw,Steakhouses,4,293,1
K1h1-dbZLgfC4vZSeJfDMw,Japanese,4,35,1
xrnk8mgoV7up6fauVmugpw,Ramen,4,491,1
Imw15ZNH2RyEz5A0hUywqg,Chicken Wings,4,54,1
uVHa8BktK6jjYTaSxra-sg,Japanese,4.5,359,1
AiiKkuu7xcrOfLE5-R5Ygg,Ramen,3.5,161,1
VooUbgaG0F2FeQZfgBbjkg,Chinese,3,158,1
LIo7CUUgZBZw8MxDxv0icw,Chinese,3.5,293,1
lpLd3AFaMOV7LfPtvUiq8A,Chinese,3,620,1
ipv4lBvbfVzCnSahqrJckQ,Szechuan,4,243,1
y_ylOQzCP-9D_4DcUIJ3jA,Japanese,4,549,1
pZMxOkuYVq_Q5QYTGA8LEA,Ramen,4,140,1
SUHJfh7H2NiQx8c5OWoAyQ,Japanese,4,123,1
sVkwEFET38Myz3dM1uZpiw,Breakfast & Brunch,4,244,1
neQM053ovAOrf1sVSAPI9w,Asian Fusion,4,768,1
_LJFf9YqpYxvExTvVxb7Rw,American (New),4.5,803,1
4W0qF6C0KDmGDOc4pR3CkQ,American (New),5,22,1
lw4ZMgn-QBh_5W1ipNHjaw,French,4,35,1
16heVvLqYfLpl8mC1RN3Bg,Hot Pot,4.5,249,1
0bM7u8ifFfXUnaybey3Yrg,Chinese,3,38,1
Dh2I2jRTXE7oDCfuA9vCoQ,Chinese,3.5,39,1
rSY3MyWqpuy3dNuUN4zQ_g,French,4,330,1
fyCteRCHqQb4rzJf4piKTg,Chinese,2,1,1
vWEKZVPIYFewfqCOkkvVIQ,Chinese,3.5,35,1
yVDNPV0Yf3vQAsXTJett1g,Chinese,3,36,1
2uVut84nu_1J1iXRoXRMiQ,Coffee & Tea,4,160,1
yRAU7MtAE9St6Q8LSeFZCQ,Italian,4,26,1
aM8SCVt3APBw1kE5Zg0kkQ,Coffee & Tea,4.5,63,1
o-KRgyTJoM4EM-K-rwe86w,Mexican,3.5,497,1
01hs_l54-211UuiJPI83lA,Japanese,4,168,1
vSPKmk499CglpfJFuFvbvg,Chinese,3.5,8,1
jrXu38IeCFhHAgR8tI7exg,Breakfast & Brunch,2.5,308,1
pf_84vrm2-Ir0mVwzK8VNw,Indian,3.5,62,1
wNFWtc20sGBvqM_BcfVgcw,Chinese,4.5,40,1
ZS49AhOMRPFH_3mQd_qA7A,Chicken Wings,4.5,405,1
T1bgtJcjtc-6xykWqBRfUw,Ramen,4,304,1
6gDUVNZo0E9lxO2DkAhHOQ,Greek,4.5,407,1
9PmK63frTS-ZrvPCfpe1jg,Steakhouses,3.5,121,1
TdUhTJ7hCt0uANqHIcltOA,French,4,272,1
gxvwxZWWSKNFMsVr10YAQg,Asian Fusion,3.5,263,1
3Rah-cvFk79duFQ83voQ5A,Hot Pot,4,201,1
Vs2IM_3Hyhh7FrzagM_9cQ,Seafood,4,210,1
wOYqxqz5yhx3CrP2RsCXpw,Breakfast & Brunch,4,527,1
